INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-04-15T20:00:00-00:00,2018-04-15T21:00:00-00:00,2018-04-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,7.18709,1
2018-04-15T14:00:00-00:00,2018-04-15T15:00:00-00:00,2018-04-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,25.04421,1
2018-04-15T18:00:00-00:00,2018-04-15T19:00:00-00:00,2018-04-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,10.0924,1
2018-04-15T23:00:00-00:00,2018-04-16T00:00:00-00:00,2018-04-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,15.50197,1
2018-04-15T11:00:00-00:00,2018-04-15T12:00:00-00:00,2018-04-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.11249,1
2018-04-16T03:00:00-00:00,2018-04-16T04:00:00-00:00,2018-04-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,62.04659,1
2018-04-15T13:00:00-00:00,2018-04-15T14:00:00-00:00,2018-04-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.44335,1
2018-04-15T15:00:00-00:00,2018-04-15T16:00:00-00:00,2018-04-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,22.96537,1
2018-04-16T05:00:00-00:00,2018-04-16T06:00:00-00:00,2018-04-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.53638,1
2018-04-15T16:00:00-00:00,2018-04-15T17:00:00-00:00,2018-04-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,15.52072,1
2018-04-15T21:00:00-00:00,2018-04-15T22:00:00-00:00,2018-04-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,5.53557,1
2018-04-16T00:00:00-00:00,2018-04-16T01:00:00-00:00,2018-04-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.37274,1
2018-04-15T10:00:00-00:00,2018-04-15T11:00:00-00:00,2018-04-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.18025,1
2018-04-16T06:00:00-00:00,2018-04-16T07:00:00-00:00,2018-04-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.30976,1
2018-04-16T02:00:00-00:00,2018-04-16T03:00:00-00:00,2018-04-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,59.35405,1
2018-04-15T09:00:00-00:00,2018-04-15T10:00:00-00:00,2018-04-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.63106,1
2018-04-15T19:00:00-00:00,2018-04-15T20:00:00-00:00,2018-04-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,6.17536,1
2018-04-15T08:00:00-00:00,2018-04-15T09:00:00-00:00,2018-04-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.27099,1
2018-04-15T17:00:00-00:00,2018-04-15T18:00:00-00:00,2018-04-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,14.12491,1
2018-04-15T07:00:00-00:00,2018-04-15T08:00:00-00:00,2018-04-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.16027,1
2018-04-15T12:00:00-00:00,2018-04-15T13:00:00-00:00,2018-04-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.74979,1
2018-04-16T04:00:00-00:00,2018-04-16T05:00:00-00:00,2018-04-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,42.17284,1
2018-04-15T22:00:00-00:00,2018-04-15T23:00:00-00:00,2018-04-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,12.12099,1
2018-04-16T01:00:00-00:00,2018-04-16T02:00:00-00:00,2018-04-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,37.79572,1
2018-04-16T01:00:00-00:00,2018-04-16T02:00:00-00:00,2018-04-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-1.60954,2
2018-04-16T02:00:00-00:00,2018-04-16T03:00:00-00:00,2018-04-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T09:00:00-00:00,2018-04-15T10:00:00-00:00,2018-04-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T11:00:00-00:00,2018-04-15T12:00:00-00:00,2018-04-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T14:00:00-00:00,2018-04-15T15:00:00-00:00,2018-04-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T16:00:00-00:00,2018-04-15T17:00:00-00:00,2018-04-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.33224,2
2018-04-15T22:00:00-00:00,2018-04-15T23:00:00-00:00,2018-04-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.07682,2
2018-04-15T08:00:00-00:00,2018-04-15T09:00:00-00:00,2018-04-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T13:00:00-00:00,2018-04-15T14:00:00-00:00,2018-04-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T19:00:00-00:00,2018-04-15T20:00:00-00:00,2018-04-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.21218,2
2018-04-15T10:00:00-00:00,2018-04-15T11:00:00-00:00,2018-04-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-16T03:00:00-00:00,2018-04-16T04:00:00-00:00,2018-04-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-16T05:00:00-00:00,2018-04-16T06:00:00-00:00,2018-04-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-04-15T20:00:00-00:00,2018-04-15T21:00:00-00:00,2018-04-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.25342,2
2018-04-15T07:00:00-00:00,2018-04-15T08:00:00-00:00,2018-04-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
