INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-08-15T08:00:00-00:00,2018-08-15T09:00:00-00:00,2018-08-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,41.79735,1
2018-08-15T22:00:00-00:00,2018-08-15T23:00:00-00:00,2018-08-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,61.55759,1
2018-08-15T18:00:00-00:00,2018-08-15T19:00:00-00:00,2018-08-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,44.32173,1
2018-08-15T11:00:00-00:00,2018-08-15T12:00:00-00:00,2018-08-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,40.84271,1
2018-08-15T09:00:00-00:00,2018-08-15T10:00:00-00:00,2018-08-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,39.53444,1
2018-08-16T06:00:00-00:00,2018-08-16T07:00:00-00:00,2018-08-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,49.84428,1
2018-08-15T23:00:00-00:00,2018-08-16T00:00:00-00:00,2018-08-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,69.84076,1
2018-08-15T20:00:00-00:00,2018-08-15T21:00:00-00:00,2018-08-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,49.11001,1
2018-08-16T01:00:00-00:00,2018-08-16T02:00:00-00:00,2018-08-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,93.99835,1
2018-08-16T04:00:00-00:00,2018-08-16T05:00:00-00:00,2018-08-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,70.37913,1
2018-08-15T17:00:00-00:00,2018-08-15T18:00:00-00:00,2018-08-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,39.10462,1
2018-08-15T15:00:00-00:00,2018-08-15T16:00:00-00:00,2018-08-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,38.05976,1
2018-08-16T03:00:00-00:00,2018-08-16T04:00:00-00:00,2018-08-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,98.51187,1
2018-08-16T02:00:00-00:00,2018-08-16T03:00:00-00:00,2018-08-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,102.70373,1
2018-08-16T00:00:00-00:00,2018-08-16T01:00:00-00:00,2018-08-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,80.17738,1
2018-08-15T13:00:00-00:00,2018-08-15T14:00:00-00:00,2018-08-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,50.68,1
2018-08-15T10:00:00-00:00,2018-08-15T11:00:00-00:00,2018-08-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,38.92057,1
2018-08-15T19:00:00-00:00,2018-08-15T20:00:00-00:00,2018-08-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,43.76784,1
2018-08-15T14:00:00-00:00,2018-08-15T15:00:00-00:00,2018-08-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,48.66336,1
2018-08-15T07:00:00-00:00,2018-08-15T08:00:00-00:00,2018-08-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,45.52915,1
2018-08-15T16:00:00-00:00,2018-08-15T17:00:00-00:00,2018-08-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,37.95255,1
2018-08-16T05:00:00-00:00,2018-08-16T06:00:00-00:00,2018-08-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,57.81575,1
2018-08-15T12:00:00-00:00,2018-08-15T13:00:00-00:00,2018-08-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,43.7128,1
2018-08-15T21:00:00-00:00,2018-08-15T22:00:00-00:00,2018-08-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,56.1226,1
2018-08-15T21:00:00-00:00,2018-08-15T22:00:00-00:00,2018-08-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-12.11906,2
2018-08-15T16:00:00-00:00,2018-08-15T17:00:00-00:00,2018-08-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-3.08251,2
2018-08-15T15:00:00-00:00,2018-08-15T16:00:00-00:00,2018-08-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.35298,2
2018-08-15T08:00:00-00:00,2018-08-15T09:00:00-00:00,2018-08-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-08-15T19:00:00-00:00,2018-08-15T20:00:00-00:00,2018-08-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-10.24479,2
2018-08-15T18:00:00-00:00,2018-08-15T19:00:00-00:00,2018-08-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-5.33314,2
2018-08-16T01:00:00-00:00,2018-08-16T02:00:00-00:00,2018-08-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-26.04326,2
2018-08-15T10:00:00-00:00,2018-08-15T11:00:00-00:00,2018-08-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-08-15T09:00:00-00:00,2018-08-15T10:00:00-00:00,2018-08-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.02192,2
2018-08-15T23:00:00-00:00,2018-08-16T00:00:00-00:00,2018-08-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-16.52784,2
2018-08-16T05:00:00-00:00,2018-08-16T06:00:00-00:00,2018-08-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
