INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-02-15T12:00:00-00:00,2019-02-15T13:00:00-00:00,2019-02-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,64.86395,1
2019-02-16T05:00:00-00:00,2019-02-16T06:00:00-00:00,2019-02-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,93.96894,1
2019-02-16T01:00:00-00:00,2019-02-16T02:00:00-00:00,2019-02-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,107.48575,1
2019-02-16T04:00:00-00:00,2019-02-16T05:00:00-00:00,2019-02-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,106.10697,1
2019-02-15T09:00:00-00:00,2019-02-15T10:00:00-00:00,2019-02-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,58.92704,1
2019-02-15T13:00:00-00:00,2019-02-15T14:00:00-00:00,2019-02-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,79.50704,1
2019-02-15T16:00:00-00:00,2019-02-15T17:00:00-00:00,2019-02-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,79.43748,1
2019-02-16T06:00:00-00:00,2019-02-16T07:00:00-00:00,2019-02-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,76.33352,1
2019-02-15T10:00:00-00:00,2019-02-15T11:00:00-00:00,2019-02-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,58.46845,1
2019-02-15T22:00:00-00:00,2019-02-15T23:00:00-00:00,2019-02-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,68.16084,1
2019-02-16T07:00:00-00:00,2019-02-16T08:00:00-00:00,2019-02-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,72.57583,1
2019-02-15T15:00:00-00:00,2019-02-15T16:00:00-00:00,2019-02-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,86.76924,1
2019-02-15T18:00:00-00:00,2019-02-15T19:00:00-00:00,2019-02-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,63.68438,1
2019-02-16T00:00:00-00:00,2019-02-16T01:00:00-00:00,2019-02-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,90.79444,1
2019-02-16T03:00:00-00:00,2019-02-16T04:00:00-00:00,2019-02-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,112.00346,1
2019-02-15T11:00:00-00:00,2019-02-15T12:00:00-00:00,2019-02-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,60.44314,1
