INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-01-16T06:00:00-00:00,2019-01-16T07:00:00-00:00,2019-01-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,43.80986,1
2019-01-15T18:00:00-00:00,2019-01-15T19:00:00-00:00,2019-01-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,45.92141,1
2019-01-16T07:00:00-00:00,2019-01-16T08:00:00-00:00,2019-01-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,40.58968,1
2019-01-15T17:00:00-00:00,2019-01-15T18:00:00-00:00,2019-01-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,49.53061,1
2019-01-15T22:00:00-00:00,2019-01-15T23:00:00-00:00,2019-01-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,44.74618,1
2019-01-16T01:00:00-00:00,2019-01-16T02:00:00-00:00,2019-01-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,78.44842,1
2019-01-16T03:00:00-00:00,2019-01-16T04:00:00-00:00,2019-01-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,78.31311,1
2019-01-15T21:00:00-00:00,2019-01-15T22:00:00-00:00,2019-01-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,43.62571,1
2019-01-15T19:00:00-00:00,2019-01-15T20:00:00-00:00,2019-01-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,44.40958,1
2019-01-16T02:00:00-00:00,2019-01-16T03:00:00-00:00,2019-01-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,79.62005,1
2019-01-15T12:00:00-00:00,2019-01-15T13:00:00-00:00,2019-01-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,39.58307,1
2019-01-15T09:00:00-00:00,2019-01-15T10:00:00-00:00,2019-01-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,38.29255,1
