INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-06-15T23:00:00-00:00,2018-06-16T00:00:00-00:00,2018-06-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,31.95717,1
2018-06-15T14:00:00-00:00,2018-06-15T15:00:00-00:00,2018-06-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.19115,1
2018-06-15T13:00:00-00:00,2018-06-15T14:00:00-00:00,2018-06-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,30.13067,1
2018-06-15T12:00:00-00:00,2018-06-15T13:00:00-00:00,2018-06-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,28.55949,1
2018-06-15T15:00:00-00:00,2018-06-15T16:00:00-00:00,2018-06-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.15784,1
2018-06-15T17:00:00-00:00,2018-06-15T18:00:00-00:00,2018-06-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.72144,1
2018-06-15T18:00:00-00:00,2018-06-15T19:00:00-00:00,2018-06-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.40606,1
2018-06-15T10:00:00-00:00,2018-06-15T11:00:00-00:00,2018-06-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.0823,1
2018-06-16T02:00:00-00:00,2018-06-16T03:00:00-00:00,2018-06-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,51.60375,1
2018-06-15T20:00:00-00:00,2018-06-15T21:00:00-00:00,2018-06-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.04183,1
2018-06-15T09:00:00-00:00,2018-06-15T10:00:00-00:00,2018-06-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.47692,1
2018-06-15T16:00:00-00:00,2018-06-15T17:00:00-00:00,2018-06-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.08913,1
2018-06-15T07:00:00-00:00,2018-06-15T08:00:00-00:00,2018-06-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,30.05088,1
2018-06-15T22:00:00-00:00,2018-06-15T23:00:00-00:00,2018-06-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,30.08,1
2018-06-15T11:00:00-00:00,2018-06-15T12:00:00-00:00,2018-06-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.06159,1
2018-06-15T08:00:00-00:00,2018-06-15T09:00:00-00:00,2018-06-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,28.49422,1
2018-06-16T03:00:00-00:00,2018-06-16T04:00:00-00:00,2018-06-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,47.6664,1
2018-06-15T21:00:00-00:00,2018-06-15T22:00:00-00:00,2018-06-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,28.1709,1
2018-06-16T00:00:00-00:00,2018-06-16T01:00:00-00:00,2018-06-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,33.06206,1
2018-06-16T05:00:00-00:00,2018-06-16T06:00:00-00:00,2018-06-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,34.06661,1
2018-06-15T19:00:00-00:00,2018-06-15T20:00:00-00:00,2018-06-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,27.4113,1
2018-06-16T01:00:00-00:00,2018-06-16T02:00:00-00:00,2018-06-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,40.53431,1
2018-06-16T04:00:00-00:00,2018-06-16T05:00:00-00:00,2018-06-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,42.82496,1
2018-06-16T06:00:00-00:00,2018-06-16T07:00:00-00:00,2018-06-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.46639,1
2018-06-15T21:00:00-00:00,2018-06-15T22:00:00-00:00,2018-06-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-1.6189,2
2018-06-15T22:00:00-00:00,2018-06-15T23:00:00-00:00,2018-06-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-1.99016,2
2018-06-15T12:00:00-00:00,2018-06-15T13:00:00-00:00,2018-06-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-06-15T16:00:00-00:00,2018-06-15T17:00:00-00:00,2018-06-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-06-15T07:00:00-00:00,2018-06-15T08:00:00-00:00,2018-06-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
