INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-03-16T00:00:00-00:00,2018-03-16T01:00:00-00:00,2018-03-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.34351,1
2018-03-16T05:00:00-00:00,2018-03-16T06:00:00-00:00,2018-03-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,35.92891,1
2018-03-15T18:00:00-00:00,2018-03-15T19:00:00-00:00,2018-03-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,29.73166,1
2018-03-15T14:00:00-00:00,2018-03-15T15:00:00-00:00,2018-03-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,46.50198,1
2018-03-15T19:00:00-00:00,2018-03-15T20:00:00-00:00,2018-03-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.62615,1
2018-03-16T01:00:00-00:00,2018-03-16T02:00:00-00:00,2018-03-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,39.99303,1
2018-03-16T03:00:00-00:00,2018-03-16T04:00:00-00:00,2018-03-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,47.09131,1
2018-03-16T04:00:00-00:00,2018-03-16T05:00:00-00:00,2018-03-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,40.15324,1
2018-03-15T07:00:00-00:00,2018-03-15T08:00:00-00:00,2018-03-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,30.18423,1
2018-03-15T22:00:00-00:00,2018-03-15T23:00:00-00:00,2018-03-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,22.90206,1
2018-03-15T23:00:00-00:00,2018-03-16T00:00:00-00:00,2018-03-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,23.1205,1
2018-03-15T10:00:00-00:00,2018-03-15T11:00:00-00:00,2018-03-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,24.62766,1
2018-03-15T15:00:00-00:00,2018-03-15T16:00:00-00:00,2018-03-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,34.7828,1
2018-03-15T08:00:00-00:00,2018-03-15T09:00:00-00:00,2018-03-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.91321,1
2018-03-15T17:00:00-00:00,2018-03-15T18:00:00-00:00,2018-03-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,31.8195,1
2018-03-16T02:00:00-00:00,2018-03-16T03:00:00-00:00,2018-03-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,47.49942,1
2018-03-15T09:00:00-00:00,2018-03-15T10:00:00-00:00,2018-03-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,25.18104,1
2018-03-15T11:00:00-00:00,2018-03-15T12:00:00-00:00,2018-03-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,25.18219,1
2018-03-15T13:00:00-00:00,2018-03-15T14:00:00-00:00,2018-03-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,39.99336,1
