INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-05-15T21:00:00-00:00,2018-05-15T22:00:00-00:00,2018-05-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,10.70724,1
2018-05-15T12:00:00-00:00,2018-05-15T13:00:00-00:00,2018-05-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,28.73875,1
2018-05-15T18:00:00-00:00,2018-05-15T19:00:00-00:00,2018-05-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,12.81718,1
2018-05-16T05:00:00-00:00,2018-05-16T06:00:00-00:00,2018-05-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,30.72789,1
2018-05-15T16:00:00-00:00,2018-05-15T17:00:00-00:00,2018-05-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,13.74653,1
2018-05-16T00:00:00-00:00,2018-05-16T01:00:00-00:00,2018-05-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,20.59833,1
2018-05-15T09:00:00-00:00,2018-05-15T10:00:00-00:00,2018-05-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,12.52643,1
2018-05-15T20:00:00-00:00,2018-05-15T21:00:00-00:00,2018-05-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,11.75071,1
2018-05-15T10:00:00-00:00,2018-05-15T11:00:00-00:00,2018-05-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,13.7599,1
2018-05-16T06:00:00-00:00,2018-05-16T07:00:00-00:00,2018-05-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,25.41185,1
2018-05-15T17:00:00-00:00,2018-05-15T18:00:00-00:00,2018-05-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,13.13878,1
2018-05-15T14:00:00-00:00,2018-05-15T15:00:00-00:00,2018-05-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,26.08908,1
2018-05-15T13:00:00-00:00,2018-05-15T14:00:00-00:00,2018-05-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,31.75537,1
