INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-11-15T19:00:00-00:00,2018-11-15T20:00:00-00:00,2018-11-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,44.81049,1
2018-11-15T10:00:00-00:00,2018-11-15T11:00:00-00:00,2018-11-15,3,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,45.34656,1
2018-11-15T22:00:00-00:00,2018-11-15T23:00:00-00:00,2018-11-15,15,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,55.36574,1
2018-11-16T04:00:00-00:00,2018-11-16T05:00:00-00:00,2018-11-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,82.13779,1
2018-11-16T05:00:00-00:00,2018-11-16T06:00:00-00:00,2018-11-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,74.06086,1
2018-11-15T08:00:00-00:00,2018-11-15T09:00:00-00:00,2018-11-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,48.94042,1
2018-11-15T13:00:00-00:00,2018-11-15T14:00:00-00:00,2018-11-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,69.60112,1
2018-11-15T12:00:00-00:00,2018-11-15T13:00:00-00:00,2018-11-15,5,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,48.3775,1
2018-11-15T17:00:00-00:00,2018-11-15T18:00:00-00:00,2018-11-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,45.77691,1
2018-11-15T23:00:00-00:00,2018-11-16T00:00:00-00:00,2018-11-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,73.01408,1
2018-11-16T03:00:00-00:00,2018-11-16T04:00:00-00:00,2018-11-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,80.83943,1
2018-11-15T09:00:00-00:00,2018-11-15T10:00:00-00:00,2018-11-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,44.49086,1
2018-11-15T11:00:00-00:00,2018-11-15T12:00:00-00:00,2018-11-15,4,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,45.35111,1
2018-11-15T20:00:00-00:00,2018-11-15T21:00:00-00:00,2018-11-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,46.93662,1
2018-11-16T00:00:00-00:00,2018-11-16T01:00:00-00:00,2018-11-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,89.53064,1
2018-11-16T02:00:00-00:00,2018-11-16T03:00:00-00:00,2018-11-15,19,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,97.49313,1
2018-11-16T06:00:00-00:00,2018-11-16T07:00:00-00:00,2018-11-15,23,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,62.77066,1
2018-11-15T14:00:00-00:00,2018-11-15T15:00:00-00:00,2018-11-15,7,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,79.41865,1
2018-11-15T16:00:00-00:00,2018-11-15T17:00:00-00:00,2018-11-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,52.90345,1
2018-11-15T15:00:00-00:00,2018-11-15T16:00:00-00:00,2018-11-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,70.05206,1
2018-11-15T21:00:00-00:00,2018-11-15T22:00:00-00:00,2018-11-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,49.59509,1
2018-11-16T01:00:00-00:00,2018-11-16T02:00:00-00:00,2018-11-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,100.54864,1
2018-11-16T07:00:00-00:00,2018-11-16T08:00:00-00:00,2018-11-15,24,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,57.54395,1
2018-11-15T18:00:00-00:00,2018-11-15T19:00:00-00:00,2018-11-15,11,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,45.12834,1
2018-11-15T09:00:00-00:00,2018-11-15T10:00:00-00:00,2018-11-15,2,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-11-15T20:00:00-00:00,2018-11-15T21:00:00-00:00,2018-11-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.85888,2
2018-11-15T19:00:00-00:00,2018-11-15T20:00:00-00:00,2018-11-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.89248,2
2018-11-16T00:00:00-00:00,2018-11-16T01:00:00-00:00,2018-11-15,17,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-1.10438,2
2018-11-16T03:00:00-00:00,2018-11-16T04:00:00-00:00,2018-11-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-1.01279,2
2018-11-16T04:00:00-00:00,2018-11-16T05:00:00-00:00,2018-11-15,21,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-11-16T05:00:00-00:00,2018-11-16T06:00:00-00:00,2018-11-15,22,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-11-15T08:00:00-00:00,2018-11-15T09:00:00-00:00,2018-11-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0,2
2018-11-15T15:00:00-00:00,2018-11-15T16:00:00-00:00,2018-11-15,8,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,0.46621,2
2018-11-15T16:00:00-00:00,2018-11-15T17:00:00-00:00,2018-11-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,MCC,LMP_CONG_PRC,PLAINFLD_6_N001,ALL,1,-0.13095,2
