INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-10-15T22:00:00-00:00,2018-10-15T23:00:00-00:00,2018-10-15,16,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,37.42187,1
2018-10-15T15:00:00-00:00,2018-10-15T16:00:00-00:00,2018-10-15,9,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,36.55493,1
2018-10-15T20:00:00-00:00,2018-10-15T21:00:00-00:00,2018-10-15,14,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,35.68511,1
2018-10-15T19:00:00-00:00,2018-10-15T20:00:00-00:00,2018-10-15,13,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,35.1049,1
2018-10-16T00:00:00-00:00,2018-10-16T01:00:00-00:00,2018-10-15,18,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,56.38837,1
2018-10-15T16:00:00-00:00,2018-10-15T17:00:00-00:00,2018-10-15,10,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,33.85133,1
2018-10-15T18:00:00-00:00,2018-10-15T19:00:00-00:00,2018-10-15,12,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,33.18602,1
2018-10-15T12:00:00-00:00,2018-10-15T13:00:00-00:00,2018-10-15,6,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,42.22266,1
2018-10-15T07:00:00-00:00,2018-10-15T08:00:00-00:00,2018-10-15,1,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,36.8268,1
2018-10-16T02:00:00-00:00,2018-10-16T03:00:00-00:00,2018-10-15,20,0,PLAINFLD_6_N001,PLAINFLD_6_N001,PLAINFLD_6_N001,DAM,LMP,LMP_PRC,PLAINFLD_6_N001,ALL,1,79.50721,1
