"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",133.154
"Jan 1, 01:00 am",161.621
"Jan 1, 02:00 am",184.494
"Jan 1, 03:00 am",175.583
"Jan 1, 04:00 am",169.144
"Jan 1, 05:00 am",175.805
"Jan 1, 06:00 am",174.059
"Jan 1, 07:00 am",164.569
"Jan 1, 08:00 am",134.946
"Jan 1, 09:00 am",106.265
"Jan 1, 10:00 am",107.125
"Jan 1, 11:00 am",110.694
"Jan 1, 12:00 pm",116.401
"Jan 1, 01:00 pm",69.0938
"Jan 1, 02:00 pm",28.2254
"Jan 1, 03:00 pm",62.2891
"Jan 1, 04:00 pm",65.0888
"Jan 1, 05:00 pm",56.0059
"Jan 1, 06:00 pm",52.3371
"Jan 1, 07:00 pm",55.1243
"Jan 1, 08:00 pm",29.408
"Jan 1, 09:00 pm",21.357
"Jan 1, 10:00 pm",55.4036
"Jan 1, 11:00 pm",90.94
"Jan 2, 12:00 am",85.8408
"Jan 2, 01:00 am",66.5258
"Jan 2, 02:00 am",48.7703
"Jan 2, 03:00 am",88.4227
"Jan 2, 04:00 am",97.611
"Jan 2, 05:00 am",69.7839
"Jan 2, 06:00 am",70.7083
"Jan 2, 07:00 am",63.2784
"Jan 2, 08:00 am",47.8484
"Jan 2, 09:00 am",43.2044
"Jan 2, 10:00 am",45.8511
"Jan 2, 11:00 am",36.7937
"Jan 2, 12:00 pm",54.4976
"Jan 2, 01:00 pm",52.7543
"Jan 2, 02:00 pm",50.9828
"Jan 2, 03:00 pm",121.523
"Jan 2, 04:00 pm",41.0256
"Jan 2, 05:00 pm",8.6809
"Jan 2, 06:00 pm",11.5943
"Jan 2, 07:00 pm",2.17921
"Jan 2, 08:00 pm",2.65662
"Jan 2, 09:00 pm",38.4729
"Jan 2, 10:00 pm",117.103
"Jan 2, 11:00 pm",156.101
"Jan 3, 12:00 am",136.139
"Jan 3, 01:00 am",139.837
"Jan 3, 02:00 am",143.535
"Jan 3, 03:00 am",143.368
"Jan 3, 04:00 am",112.085
"Jan 3, 05:00 am",63.2638
"Jan 3, 06:00 am",31.0843
"Jan 3, 07:00 am",18.767
"Jan 3, 08:00 am",20.897
"Jan 3, 09:00 am",14.941
"Jan 3, 10:00 am",19.4063
"Jan 3, 11:00 am",1.9247
"Jan 3, 12:00 pm",0.0118344
"Jan 3, 01:00 pm",2.28589
"Jan 3, 02:00 pm",11.9927
"Jan 3, 03:00 pm",17.9447
"Jan 3, 04:00 pm",58.6288
"Jan 3, 05:00 pm",60.4909
"Jan 3, 06:00 pm",28.8657
"Jan 3, 07:00 pm",12.2568
"Jan 3, 08:00 pm",2.73799
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",4.72301
"Jan 4, 01:00 am",15.6882
"Jan 4, 02:00 am",30.4535
"Jan 4, 03:00 am",50.0426
"Jan 4, 04:00 am",98.3616
"Jan 4, 05:00 am",119.114
"Jan 4, 06:00 am",86.5263
"Jan 4, 07:00 am",90.7689
"Jan 4, 08:00 am",99.0532
"Jan 4, 09:00 am",99.0831
"Jan 4, 10:00 am",125.572
"Jan 4, 11:00 am",124.978
"Jan 4, 12:00 pm",112.902
"Jan 4, 01:00 pm",109.538
"Jan 4, 02:00 pm",106.156
"Jan 4, 03:00 pm",70.5545
"Jan 4, 04:00 pm",55.6379
"Jan 4, 05:00 pm",84.4343
